id,serie_name,amazon_link,author_id,pen_name,book_status,num_books,goodreads_link,image,currentBooks
188364,Raylan Givens,NULL,966341,NULL,done,4,https://www.goodreads.com/series/67628-raylan-givens,NULL,4
188545,Lacey Flint,NULL,250674,NULL,done,5,https://www.goodreads.com/series/79171-lacey-flint,NULL,6
188918,Kenyon Coloring Books,NULL,900911,NULL,done,6,https://www.goodreads.com/series/220294-kenyon-coloring-books,NULL,6
188934,How Did We Find Out,NULL,474926,NULL,done,35,https://www.goodreads.com/series/342227-how-did-we-find-out,NULL,37
189143,Skyward,NULL,123337,NULL,done,4,https://www.goodreads.com/series/247635-skyward,NULL,4
189210,Darwath,NULL,452518,NULL,done,5,https://www.goodreads.com/series/50578-darwath,NULL,7
189422,Apprentice Adept,NULL,725072,NULL,done,7,https://www.goodreads.com/series/40494-apprentice-adept,NULL,7
190526,Fairy Tale Cookbooks,NULL,502471,NULL,done,6,https://www.goodreads.com/series/122783-fairy-tale-cookbooks,NULL,6
190745,The Stone Book Quartet,NULL,160941,NULL,done,4,https://www.goodreads.com/series/87305-the-stone-book-quartet,NULL,4
190823,The Godmothers,NULL,161737,NULL,done,7,https://www.goodreads.com/series/68684-the-godmothers,NULL,8
190953,Mat Joubert,NULL,887833,NULL,done,2,https://www.goodreads.com/series/197172-mat-joubert,NULL,2
191069,Mark Manson Collection,NULL,616177,NULL,done,2,https://www.goodreads.com/series/344128-mark-manson-collection,NULL,4
191311,Karen Memory,NULL,815208,NULL,done,2,https://www.goodreads.com/series/200533-karen-memory,NULL,2
191536,Smiling Pool,NULL,606064,NULL,done,4,https://www.goodreads.com/series/117038-smiling-pool,NULL,4
191965,The Collected Stories of Jack Williamson,NULL,359455,NULL,done,8,https://www.goodreads.com/series/209555-the-collected-stories-of-jack-williamson,NULL,14
192332,Corbins,NULL,368030,NULL,done,4,https://www.goodreads.com/series/40453-corbins,NULL,4
192618,Sid Halley,NULL,892656,NULL,done,6,https://www.goodreads.com/series/51614-sid-halley,NULL,7
193070,Lockwood & Co.,NULL,825164,NULL,done,5,https://www.goodreads.com/series/76807-lockwood-co,NULL,6
193168,Med Service,NULL,870479,NULL,done,4,https://www.goodreads.com/series/92071-med-service,NULL,4
193562,Confessions,NULL,499909,NULL,done,4,https://www.goodreads.com/series/87711-confessions,NULL,4
193646,War Bears,NULL,380500,NULL,done,3,https://www.goodreads.com/series/361336-war-bears,NULL,3
193876,The Maze Runner,NULL,862518,NULL,done,5,https://www.goodreads.com/series/110451-the-maze-runner,NULL,5
193972,Íslandsklukkan,NULL,435402,NULL,done,1,https://www.goodreads.com/series/58597-slandsklukkan,NULL,1
193988,海辺のカフカ,NULL,636816,NULL,done,2,https://www.goodreads.com/series/290871,NULL,2
195300,Ravenswood,NULL,579591,NULL,done,4,https://www.goodreads.com/series/329220-ravenswood,NULL,4
195938,Saxon Tales,NULL,439166,NULL,done,3,https://www.goodreads.com/series/223143-saxon-tales,NULL,6
196553,Adrian Mole,NULL,679530,NULL,done,8,https://www.goodreads.com/series/59165-adrian-mole,NULL,9
196764,Where Are the Children,NULL,634929,NULL,done,2,https://www.goodreads.com/series/364716-where-are-the-children,NULL,2
197337,Tales of Elemental Spirits,NULL,700316,NULL,done,3,https://www.goodreads.com/series/81510-tales-of-elemental-spirits,NULL,3
